n;ms Isercion AVL;ms Isercion RBT;ms Isercion ST;ms search AVL;ms search RBT;ms search ST; ms^2 Isercion AVL;ms^2 Isercion RBT;ms^2 Isercion ST; ms^2 search AVL;ms^2 search RBT;ms^2 search ST
10000;4.01483;2.07093;0.613155;0.847014;0.961332;0.790705;0.0645365;0.020038;0.00412934;0.0159462;0.0158476;0.0107951
20000;8.0857;4.81884;1.21718;1.62932;2.24453;1.68655;0.269434;0.0709389;0.0109012;0.0324327;0.0474016;0.0934122
30000;11.8766;7.81724;1.68637;2.34795;3.55572;2.24234;0.0837595;0.377279;0.004693;0.0309519;0.120692;0.014639
40000;16.0231;11.523;2.24651;3.21333;5.68215;3.04827;0.122625;0.26816;0.00518879;0.0405605;0.185407;0.0430743
50000;20.5218;15.0502;2.79437;4.09495;7.75595;3.82272;0.138145;0.071751;0.00478234;0.0622923;0.0411615;0.0462829
60000;25.1488;18.9084;3.36411;5.0606;9.80055;4.69427;0.269144;0.0868671;0.00564333;0.137219;0.0604002;0.178146
70000;29.9444;22.396;3.95083;6.16591;11.911;5.65261;0.532792;0.119429;0.025098;0.0625089;0.085535;0.211332
80000;34.9165;26.2233;4.48341;7.88863;14.0487;6.51525;0.504562;0.142574;0.0159071;0.13742;0.10905;0.215958
90000;39.8715;30.0261;5.04644;9.6983;15.8534;7.4725;0.780576;0.201009;0.0122165;0.431285;0.110456;0.502665
100000;44.7884;34.1081;5.59931;11.3462;18.4624;8.43222;1.00417;0.117558;0.0138262;0.498262;0.148837;0.336907
